source,reference,direct_translation,noisy_channel_translation,direct_bleu,noisy_bleu,winner
Addressing the reporters Bansal said that the CBI had interrogated him in the Rail Corruption case.,पत्रकारों से बातचीत में बंसल ने कहाकि रेल रिश्वत में सीबीआइ उनसे पूछताछ कर चुकी है।,उसने कहा कि सीबीआई ने उसे RBI से भ्रष्टाचार के मामले में पूछताछ की थी ।,पत्रकारों को पता चला कि सीबीआई ने उसे RBI के मामले में पूछताछ की थी ।,3.4585921141027365,3.4585921141027365,Tie
Some studies indicate as many as a third of passengers forget or ignore directions to turn off their devices.,कुछ अध्ययनों से यह संकेत भी मिलता है कि लगभग तिहाई यात्री अपनी डिवाइस को बंद करने के निर्देश भूल जाते हैं या अनदेखा कर देते हैं।,कुछ अध्ययन दिखाते हैं कि एक तिहाई यात्री अपने उपकरणों को बंद करने की दिशा भूल जाते हैं या उन्हें नज़रअंदाज़ करते हैं ।,कुछ अध्ययन दिखाते हैं कि एक तिहाई यात्री अपने उपकरणों को बंद करने की दिशा भूल जाते हैं या उनकी उपेक्षा करते हैं ।,14.731067652113982,14.731067652113982,Tie
Looking at these photos you will also say that they are very good and that the photographer has made good use of the opportunity.,"इन फोटो को देखकर आप भी कह उठेंगे, भई वाह क्लिक करने वाले मौके का खूब फायदा उठाया है।",इन फोटो को देखने पर आप यह भी कहेंगे कि वे बहुत अच्छे हैं और फोटोग्राफी ने अवसर का अच्छा इस्तेमाल किया है।,इन फोटो को देखने पर आप यह भी कहेंगे कि वे बहुत अच्छा हैं और फोटोग्राफी ने अवसर का अच्छा इस्तेमाल किया है.,7.575731225158963,6.964541799727335,Direct
"The Municipal Corporation Mayor, Bhupinder Singh Sardar, and the former Chairman of the City Improvement Board, Mukesh Tuteja, also attended the event.",इस दौरान नगर निगम के मेयर सरदार भूपेंद्र सिंह व नगर सुधार मंडल के पूर्व चेयरमैन मुकेश टूटेजा उपस्थित रहे।,"म्यूल निगम, बिस्कुट सिंह एसर, और शहर के भूतपूर्व अध्यक्ष, मकेश टर्टा, उस घटना में भी हाज़िर हुए ।",माकेश टर्टा ने भी इस घटना के बारे में सुना ।,2.1671320168371846,1.9665244988381103,Direct
"Health, character and love for others is also a kind of wealth.","यह आपके स्वास्थ्य, चरित्र, दूसरों के प्रति प्रेम के रूप में भी होता।",सेहत और दूसरों के लिए प्यार भी एक तरह की दौलत है ।,सेहत और दूसरों के लिए प्यार,5.862244939055158,3.6221601987507865,Direct
"If the population continues to increase this way, the time will soon come when mustering a morsel for every hungry mouth would be very difficult.","अगर जनसंख्या का बढ़ना इसी तरह जारी रहा तो जल्द ही वह समय आएगा, जब हर भूखे मुंह के लिए निवाला जुटा पाना मुश्किल होगा।","यदि जनसंख्या अब भी इस तरह बढ़ रही है, तो जल्द ही वह समय आएगा जब हर भूखे मुँह के लिए एक टुकड़ा इकट्ठा करना बहुत कठिन होगा ।","यदि जनसंख्या इस तरह बढ़ रही है, तो जल्द ही वह समय आएगा जब हर भूखे मुँह के लिए एक टुकड़ा इकट्ठा करना बहुत कठिन होगा ।",22.481074167380633,24.180681260144148,Noisy Channel
"Mr Guebuza told AFP, the French news agency, on Wednesday that Mr Dhlakama saw himself as a ""loser"" who wanted to use ""whatever remains of his forces to try to prove that he can impose on the government his own decisions.""","श्री जीबुझां ने बुधवार को एएफपी, फ्रांसीसी समाचार एजेंसी से कहा कि श्री ढाकामा ने खुद को एक ""हारे"" रूप में  देखा था  ""जो भी हो उसकी सेनाओं के साबित करने की कोशिश करने  बनी हुई है कि वह सरकार पर  अपने ही निर्णय को लागू कर सकते हैं .""","श्री गुंजा ने कहा, फ्रांसीसी समाचार विभाग, बुधवार को कि श्री डीएलीमा ने खुद को एक ""कार"" के रूप में देखा जो अपने बलों का उपयोग करना चाहता था यह साबित करने के लिए कि वह सरकार अपने स्वयं निर्णय पर प्रभाव डाल सकते हैं।","श्री गुंजा ने कहा, फ्रांसीसी समाचार विभाग, बुधवार को कि श्री डीएलीमा ने खुद को एक ""कार"" के रूप में देखा जो अपने बलों का उपयोग करना चाहता था यह साबित करने के लिए कि वह सरकार अपने ख़ुद के निर्णयों पर असर कर सकते हैं।",15.537080115436407,15.853019753800236,Noisy Channel
"After the robbery, the robbers left waving pistols.",लूटपाट के बाद बदमाश तमंचे लहराते हुए फरार हो गए।,"चोरी करने के बाद, डाकुओं ने भीड़ - भाड़ियों को छोड़ दिया ।","चोरी करने के बाद, डाकुओं ने भीड़ - भाड़ियों को छोड़ दिया ।",5.679677445135579,5.679677445135579,Tie
The state of the building can easily be assessed by these facts.,ऐसे में बिल्डिंग की स्थिति का अंदाजा सहज ही लगाया जा सकता है।,इमारत की हालत इन तथ्यों से आसानी से पता लगाया जा सकता है ।,इमारत की हालत इन तथ्यों से आसानी से पता लगाया जा सकता है ।,11.359354890271161,11.359354890271161,Tie
Trinamool Congress General Secretary Mukul Roy is excited about the leaders breaking away from other parties to join the Trinamool party.,तृणमूल कांग्रेस महासचिव मुकुल राय अन्य दलों से टूट कर नेताओं के तृणमूल में शामिल होने को लेकर उत्साहित हैं।,COmolalamauka जनरल kul रॉय के बारे में नेताओं के बारे में उत्साहित कर रहे हैं... ... Pholomol पार्टी में शामिल होने के लिए अन्य पार्टियों से भाग लेने के लिए.,COmolalamauka जनरल kul रॉय के बारे में नेताओं के बारे में उत्साहित कर रहे हैं... ... Plalol पार्टी में शामिल होने के लिए अन्य पार्टियों से भाग लेने के लिए.,5.558947744927456,5.558947744927456,Tie
"""Alex Turner has been diagnosed with laryngitis and is regrettably not able to perform.""","""जांच में एलेक्स टर्नर को कंठशोथ हुआ पाया गया, तथा वे प्रदर्शन करने में दुखद रूप से सक्षम नहीं हैं।""","""संयोगी रोग के साथ पता चला है और निश्चित रूप से करने में सक्षम नहीं है।""","""संयोगी रोग के साथ पता चला है और निश्चित रूप से करने में सक्षम नहीं है.""",6.0556363960709225,6.105217549222157,Noisy Channel
He will also examine whether or not the opinion of the legislators and Members of Parliament was taken into account when generating the list.,वे इस बात की भी जांच करेंगे कि सूची बनाने में विधायकों-सांसदों की राय ली गई है या नहीं।,"वह यह भी जाँच करेगा कि उस सूची को तैयार करते वक्‍त, अदालत के सदस्यों की राय क्या थी या नहीं ।",वह यह भी जाँच करेगा कि उस सूची को बनाते वक्‍त अदालत के सदस्यों की राय क्या थी या नहीं ।,4.334264033674369,4.780204393760627,Noisy Channel
Wallis Simpson may have been intersex.,हो सकता है कि वैलिस सिम्पसन इंटरसेक्स रहे हों।,यु. पू.,यु. पू.,0.0,0.0,Tie
"The US National Intelligence Estimate in February named France alongside Russia and Israel in a second tier of offenders who engage in hacking for economic intelligence, behind China, according to The Washington Post.","फ्रांस द वाशिंगटन पोस्ट के अनुसार फ़रवरी में अमेरिकी राष्ट्रीय खुफिया का नाम रूस और इसराइल के साथ चीन के पीछे जो आर्थिक आसूचना, लिए हैकिंग में संलग्न अपराधियों के एक दूसरे टीयर में नामित।","द वॉशिंगटन पोस्ट के मुताबिक, फ्रांस के साथ फ्रांस और इस्राएल के साथ - साथ फ्रांस के राष्ट्रीय विचारों का अनुमान लगाया गया है कि जो अपराधियों की दूसरी श्रेणी में रहते हैं, वे चीन के पीछे, आर्थिक बुद्धि के लिए काम करते हैं ।","द वॉशिंगटन पोस्ट के मुताबिक, फ्रांस के साथ फ्रांस और इस्राएल के साथ - साथ फ्रांस के राष्ट्रीय विचारों का अनुमान लगाया गया है ।",5.340950328090913,3.6604195472798384,Direct
"""Now Francis has selected these eight cardinals to help him,"" Valero said.","वैलेरो ने कहा, ""अभी फ्रांसिस ने अपनी सहायता करने के लिए इन आठ कार्डिनल्स को चुना है।""","""अब फ्रांसिस इन आठ कार्डिनलों को उसे मदद करने के लिए चुना है,"" वेरियो ने कहा.","""अब फ्रांसिस इन आठ कार्डिनलों को उसे मदद करने के लिए चुना है,"" वेरियो ने कहा।",12.92988268496189,12.023930397322173,Direct
Illinois is trying it on a limited basis with trucks.,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।,यह ट्रकों के साथ एक सीमित आधार पर कोशिश कर रहा है.,यह ट्रकों से एक सीमित आधार पर कोशिश कर रहा है.,21.97281387499715,16.59038701421971,Direct
"Meanwhile, a 35-year-old Sri Lankan asylum seeker died of a suspected heart attack after arriving on an asylum boat at Christmas Island this week.","इस दौरान, 35 वर्षीय श्रीलंकाई शरण साधक, इस सप्ताह क्रिसमस आईसलैण्ड पर एक शरणार्थी नाव में आने के पश्चात संदिग्ध हृदयाघात से मर गया।","इस बीच, एक 35 साल का श्रीलंका शरण शरण चाहता है... ... एक संदिग्ध दिल के दौरे की मृत्यु हो गई इस सप्ताह क्रिसमस द्वीप पर एक बचाव नाव पर पहुँचने के बाद.","इस बीच, एक 35 साल का श्रीलंका शरण बंदरगाह इस सप्ताह क्रिसमस द्वीप पर एक शरण नाव पर आने के बाद संदेही दिल के दौरे की मृत्यु हो गई.",5.35230244729667,7.508325052934221,Noisy Channel
"Former News of the World editor Andy Coulson allegedly used ""phone hacking, surveillance and confrontation"" in an attempt to confirm a bogus tip about an affair involving then-home secretary Charles Clarke.","न्यूज ऑफ दि वर्ल्ड के भूतपूर्व संपादक एन्डी कॉल्सन पर आरोप लगाया गया है कि उन्होंने चार्ल्स क्लार्क के गृह सचिव रहने के समय उनके प्रणय सम्बन्धों के बारे में एक तथाकथित गुप्त सूचना की पुष्टि करने के प्रयास में ""फोन हैकिंग, निगरानी तथा आमना-सामना"" का प्रयोग किया।","विश्व संपादक के पूर्व समाचार एंडी कोल ने ""फोनिंग, निगरानी और संघर्ष"" का प्रयोग किया है। एक प्रयास में एक षक को स्थापित करने की कोशिश में एक षक के बारे में बात कर रहा है।","विश्व संपादक के पूर्व समाचार एंडी कोल ने ""फोनिंग, निगरानी और संघर्ष"" का प्रयोग किया है। एक प्रयास में एक षक को स्थापित करने की कोशिश में एक षक के बारे में बात कर रहा है...",6.380244578949512,6.584672822375589,Noisy Channel
We have already informed you that Asaram is the owner of more than 400 Ashrams.,यह तो हम आपको पहले ही बता चुके हैं कि आसाराम 400 से भी अधिक आश्रमों के मालिक हैं।,हम पहले ही आपको बता चुके हैं कि आसाराम 400 से भी ज़्यादा अश्‍शूर का स्वामी है ।,हम पहले ही आपको बता चुके हैं कि आसाराम 400 से भी ज़्यादा अश्‍शूर का मालिक है ।,42.095675571314295,42.94652316126124,Noisy Channel
Planes modified for Wi-Fi systems are also more resistant to interference.,वाई-फाई सिस्टम के लिए संशोधित किए गए विमान भी व्यवधान के प्रति अधिक प्रतिरोधी हैं।,V-Fi तंत्रों के लिए संशोधित भी हस्तक्षेप करने के लिए अधिक विरोध कर रहे हैं।,V-Fi सिस्टम के लिए संशोधित भी हस्तक्षेप के लिए अधिक विरोध कर रहे हैं.,12.090340630072072,18.92240568795936,Noisy Channel
Chadvir Hooda said that because of the appeal of the Chief Minister activists are very excited about this rally and this rally will be the biggest amongst all the rallies so far and this will put Haryana politics on the map in the entire country.,चादवीर हुड्डा ने कहा कि मुख्यमंत्री के आह्वान पर पार्टी कार्यकर्ताओं में इस रैली को लेकर काफी उत्साह है और यह रैली अब तक की सभी रैलियों से सशक्त होगी और इससे हरियाणा की राजनीति का कद भी पूरे देश में ऊंचा होगा।,Carvivira ने कहा कि मुख्य मंत्री कार्यकर्ता की अपील के कारण इस दल के बारे में बहुत उत्साहित हैं और यह दल अब तक सभी सहवासों में सबसे बड़ा होगा और इस नक्शा पर नक्शा डाल दिया जाएगा।,Carvivira ने कहा कि मुख्य मंत्री कार्यकर्ता की अपील के कारण इस दल के बारे में बहुत उत्साहित हैं और यह दल अब तक सभी सहवासों में सबसे बड़ा होगा और यह हरिना राजनीति को पूरे देश में नक्शा पर डाल देगा।,5.624026216043597,7.8812740948960585,Noisy Channel
"So, a 1,000 mile Frontier trip purchased from an online travel agency would earn 250 miles.","तो, एक ऑनलाइन ट्रैवल एजेंसी से खरीदी गई एक 1000 मील Frontier ट्रिप 250 मील की दूरी अर्जित करेगा.","तो, एक ऑनलाइन यात्रा विभाग से प्राप्त १,००० मील की यात्रा से २,००० मील की कमाई होगी ।","तो, एक ऑनलाइन यात्रा विभाग से प्राप्त १,००० मील की यात्रा से २,००० मील की कमाई होगी.",13.173313935288004,13.566979610140004,Noisy Channel
"Johnson, who had been performing well until now in the series, has been sent home to prepare for the Ashes series.",सीरीज में अब तक शानदार प्रदर्शन करने वाले जॉनसन को एशेज सीरीज की तैयारियों के लिए स्वदेश भेज दिया गया है।,"जॉनसन, जो अब तक अच्छी तरह काम कर रहा था, अश्‍लील लेखों के लिए तैयारी करने के लिए घर भेज दिया गया है ।","जॉनसन, जो अब तक अच्छी तरह काम कर रहा था, अश्‍लील श्रृंखला के लिए तैयारी करने के लिए घर भेज दिया गया है ।",8.415986258156725,8.415986258156725,Tie
"Similarly, in basketball Sonipat was first, Rohtak second, and Kurukshetra took third place.","इसी प्रकार बास्केटबॉल में सोनीपत पहले, रोहतक दूसरे और कुरूक्षेत्र तीसरे स्थान पर रहा।","उसी तरह, पहली बार बास्केट में, रोफेक दूसरा, और कोकूकी ने तीसरी जगह ली ।","उसी तरह, पहली बार बास्केट में, रोफेक दूसरा, और कोकूशी तीसरी जगह पर था ।",2.8265205879007453,3.0372940354383413,Noisy Channel
"The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies.","नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दो-चार हो रहे है।",इस इलाके के निवासी पहले से ही मक्खियों के साथ गंभीर समस्या का सामना कर रहे हैं ।,इस इलाके के निवासी पहले से ही मक्खियों की गंभीर समस्या का सामना कर रहे हैं ।,4.096807968985152,8.500280905044189,Noisy Channel
"This year\'s event includes appearances by Wanda Sykes, Kathy Griffin, and Bill Maher, as well as ""Stand Up for Heroes,"" an annual music-and-comedy benefit for military veterans, at Madison Square Garden, featuring, among others, Bruce Springsteen, Jon Stewart, Roger Waters, and Bill Cosby.","इस वर्ष के कार्यक्रम में शामिल है, वैन्डा साइक्स, कैथी ग्रिफिन तथा बिल मैहर की मौजूदगी, साथ ही मैडिसन स्क्वॉयर गार्डन में सैन्य सेवानिवृत्त व्यक्तियों के लिए वार्षिक संगीत और कॉमेडी लाभ, ""स्टैन्ड अप फॉर हीरोज"" जिसमें ब्रूस स्प्रिंगस्टीन, जॉन स्टूवर्ट, रोजर वॉटर्स, और बिल कॉस्बी समेत अन्य कलाकार शामिल हुए।","इस वर्ष\ की घटना में एडीस सिकेस, केस ग्रिफिन, और बिल महल के द्वारा रूप सम्मिलित है, और साथ ही ""हेरोज़ के लिए खड़े हो जाओ,"" एक वार्षिक संगीत और कॉमी का लाभ उठाना, मादी शास्ट्सन गार्डन में, अन्य लोगों के बीच छाया, ब्रूस्सन, जॉन्सिलेस, जॉन्सिल्स, और बिल्स.","इस वर्ष\ की घटना में एडीस सिकेस, केस ग्रिफिन, और बिल महल के द्वारा रूप शामिल होते हैं, साथ ही ""हेरोज़ के लिए खड़े हो जाओ,"" एक वार्षिक संगीत और कॉमी का लाभ उठाना, मादी शास्ट्सन गार्डन में, अन्य लोगों के बीच, ब्रूस्सन, जॉन्सन, बस्सिल्स, और बिल्सन.",6.822103483022104,7.6768320882092755,Noisy Channel
They look for good teamwork between the pony and the handler - Fenton and Toffee were the best in the ring.,उन्होंने टट्टू तथा उसके सवार के बीच अच्छा टीम कार्य देखा - इस मामले में फेन्टन और टॉफी रिंग में सर्वश्रेष्ठ थे।,वे पोनी और हैंडलर - फ़्यून के बीच अच्छी टीम कार्य की तलाश करते हैं और तोप में सबसे अच्छा था।,वे पोनी और हैंडलर - फ़्यून के बीच अच्छी टीम कार्य की तलाश करते हैं और तोप में सबसे अच्छा था.,5.824490753999933,5.809665204409192,Direct
"He gives his life to this organization, and his desire to help the Cameroon people is everlasting.","वे इस संगठन के लिए अपना जीवन देते हैं, तथा कैमरून के लोगों की सहायता करने की उनकी इच्छा कभी समाप्त नहीं होने वाली है।","वह इस संगठन को अपना जीवन देता है, और कैमरून के लोगों की मदद करने की उसकी इच्छा अनन्त है ।",वह कैमरून के लोगों की मदद करना चाहता है ।,14.10982401057591,5.303639607699455,Direct
He said it is also important to give children religious instruction along with worldly education for the unity and integrity of the country.,उन्होंने कहा कि देश की एकता व अखंडता के लिए बच्चों को सांसारिक शिक्षा सहित धार्मिक शिक्षा देना भी जरूरी है।,उसने कहा कि बच्चों को धार्मिक शिक्षा देना और देश की एकता और खराई के लिए सांसारिक शिक्षा देना भी महत्त्वपूर्ण है ।,उसने कहा कि बच्चों को धार्मिक शिक्षा देना और देश की एकता और खराई के लिए सांसारिक शिक्षा देना भी ज़रूरी है ।,17.569374699826113,17.569374699826113,Tie
"The formerly super secretive NSA, once nicknamed No Such Agency, has found itself in very public light, and amid vicious criticism, in past months following a stream of revelations about is vast foreign and domestic surveillance programs - collectively the product of secret NSA files stolen from the agency and leaked by disenchanted former NSA contractor Edward Snowden.","भूतपूर्व अत्यधिक रहस्यपूर्ण एन.एस.ए., जिसे कभी ""ऐसी कोई एजेन्सी नहीं"" का नाम दिया गया था, पिछले महीनों में बहुत अधिक मात्रा में विदेशी और घरेलू जासूसी कार्यक्रमों की घटनाओं के सामने आने से आम लोगों के बीच में चर्चा तथा कटु आलोचना का विषय बन गई है - जो सामूहिक रूप से विरक्त हुए भूतपूर्व एन.एस.ए. अनुबंधकर्ता एडवर्ड स्नोडेन द्वारा गुप्त एन.एस.ए. फाइलों को एजेन्सी से चुराए जाने तथा रहस्योद्धाटन के पश्चात हुआ।","पिछले महीनों में, बहुत से विदेशी और घरेलू निगरानी कार्यक्रमों के बारे में एक धारा के बाद, गुप्त NASIA फ़ाइलों के उत्पादों को सामूहिक रूप से चोरी कर दिया है और भूतपूर्व भूतपूर्व भूतपूर्व ASAsssssserverns द्वारा भूतपूर्व सोवियत संघ.","पिछले महीनों में, बहुत से विदेशी और घरेलू निगरानी कार्यक्रमों की एक धारा के बाद, गुप्त NASIA फ़ाइलों के उत्पादों को सामूहिक रूप से मुक्‍त किया गया है और भूतपूर्व भूतपूर्व भूतपूर्व ASASAsssserverns द्वारा चोरी.",2.9376313049934266,2.6640234543851884,Direct
"I voted for President Obama twice, sharing hope in possibility of change",मैने बदलाव की अपेक्षा में ओबामा को दो बार मतदान दिया,"मैं राष्ट्रपति ओबमा के लिए दो बार वोट दिया, परिवर्तन की संभावना में साझा","मैं राष्ट्रपति ओबामा के लिए दो बार वोट दिया, परिवर्तन की संभावना में साझा",6.608973813188645,6.917184228205472,Noisy Channel
